"hospitalName","hospitalMapAddress"
"NP Brain Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac8e01398bb0b:0x136c9b57c454d1a5?sa=X&ved=1t:8290&ictx=111"
"Renate Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab787d5566927:0x8b9c865f2a5dcda5?sa=X&ved=1t:8290&ictx=111"
"Mira Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55fc29ce29ae3:0x5f1569adb826d65f?sa=X&ved=1t:8290&ictx=111"
"Memorial Hizmet Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa4a990e7c5e9:0xa6be302d3ce58013?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Dental Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac6fccf8e693f:0x6dd1c4c171601dcb?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Eye Centre Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab64d41a5970b:0x23f6ff5fa0204794?sa=X&ved=1t:8290&ictx=111"
"Acibadem Kozyatagi Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac64cab70324f:0x643ad9251ef87529?sa=X&ved=1t:8290&ictx=111"
"Acibadem Gokturk Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab2ec55e09fdf:0x8271ca279dbd2fc1?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Kadikoy Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab9f55acd4d07:0x7edd8b451972ac5a?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Atasehir Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac63b693f223d:0xf06513351cbe69bf?sa=X&ved=1t:8290&ictx=111"
"Kolan International Hospital Sisli Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab71eeb6494c3:0x3389199997b2b08e?sa=X&ved=1t:8290&ictx=111"
"Memorial Atasehir Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac639d71d2949:0x7b2cb6e1958313b9?sa=X&ved=1t:8290&ictx=111"
"Medicana Bahcelievler Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cabb37eba86bc3:0x832afbaf07343c78?sa=X&ved=1t:8290&ictx=111"
